# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-skitter.graph        network      KAHIP      torus16x16      4     1439.316     238913      85974     700.295     2432817.0     13312611.0
as-skitter.graph        network      KAHIP      torus16x16      5     1439.316     244939      99320     680.667     2415882.0     13319283.0
as-skitter.graph        network      KAHIP      torus8x8x8      1     2557.827     95799      45366     280.365     2791280.0     12711465.0
as-skitter.graph        network      KAHIP      torus8x8x8      2     2557.827     109516      47102     260.05     2778644.0     12259547.0
as-skitter.graph        network      KAHIP      torus8x8x8      3     2557.827     83988      31320     259.22     2775528.0     11743449.0
as-skitter.graph        network      KAHIP      torus8x8x8      4     2557.827     97107      32208     252.627     2784259.0     11801980.0
as-skitter.graph        network      KAHIP      torus8x8x8      5     2557.827     100308      35924     249.566     2791435.0     11863122.0
as-skitter.graph        network      KAHIP_TP      grid16x16      1     2311.72     244540      37008     557.454     3032827.0     13562304.0
as-skitter.graph        network      KAHIP_TP      grid16x16      2     2215.66     250094      51246     526.795     3171816.0     13333702.0
as-skitter.graph        network      KAHIP_TP      grid16x16      3     2272.76     174707      34152     570.161     3162601.0     14340124.0
as-skitter.graph        network      KAHIP_TP      grid16x16      4     2163.07     279574      62136     602.0     3109668.0     14575625.0
as-skitter.graph        network      KAHIP_TP      grid16x16      5     2168.34     182836      41212     512.156     3129215.0     13342693.0
as-skitter.graph        network      KAHIP_TP      grid8x8x8      1     1725.66     100958      16868     191.777     3653212.0     12545856.0
as-skitter.graph        network      KAHIP_TP      grid8x8x8      2     1662.7     113404      20250     183.62     3564134.0     12172751.0
as-skitter.graph        network      KAHIP_TP      grid8x8x8      3     1615.35     123698      23109     187.455     3575903.0     11905825.0
as-skitter.graph        network      KAHIP_TP      grid8x8x8      4     1706.21     160357      43288     190.63     3581641.0     12332421.0
as-skitter.graph        network      KAHIP_TP      grid8x8x8      5     1716.42     139420      23756     182.008     3531239.0     11720928.0
as-skitter.graph        network      KAHIP_TP      8-dimHQ      1     942.74     101829      43848     262.907     2766799.0     6725959.0
