# FILE   COLLECTION    METHOD    UBFACTOR  TOPO     SEED     TIME
as-skitter.graph        network       SCOTCH       3       torus16x16      1       201.895
as-skitter.graph        network       SCOTCH       3       torus16x16      2       199.87
as-skitter.graph        network       SCOTCH       3       torus16x16      3       203.468
as-skitter.graph        network       SCOTCH       3       torus16x16      4       200.801
as-skitter.graph        network       SCOTCH       3       torus16x16      5       201.303
as-skitter.graph        network       SCOTCH       3       torus16x16      6       200.928
as-skitter.graph        network       SCOTCH       3       torus16x16      7       202.801
as-skitter.graph        network       SCOTCH       3       torus16x16      8       203.431
as-skitter.graph        network       SCOTCH       3       torus16x16      9       204.877
as-skitter.graph        network       SCOTCH       3       torus8x8x8      10       472.616
as-skitter.graph        network       SCOTCH       3       torus8x8x8      1       475.303
as-skitter.graph        network       SCOTCH       3       torus8x8x8      2       476.64
as-skitter.graph        network       SCOTCH       3       torus8x8x8      3       475.58
as-skitter.graph        network       SCOTCH       3       torus8x8x8      4       476.911
as-skitter.graph        network       SCOTCH       3       torus8x8x8      5       477.657
as-skitter.graph        network       SCOTCH       3       torus8x8x8      6       476.222
as-skitter.graph        network       SCOTCH       3       torus8x8x8      7       471.997
as-skitter.graph        network       SCOTCH       3       torus8x8x8      8       482.933
as-skitter.graph        network       SCOTCH       3       torus8x8x8      9       484.535
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      10       31.8856
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      1       31.8617
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      2       31.9056
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      3       31.899
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      4       31.9449
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      5       31.9012
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      6       31.9176
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      7       31.9129
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      8       31.9322
citationCiteseer.graph        dimacs       SCOTCH       3       grid16x16      9       31.8532
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      10       64.8627
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      1       68.6419
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      2       67.5597
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      3       64.8829
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      4       68.7138
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      5       65.095
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      6       64.8324
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      7       64.9171
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      8       64.8093
citationCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      9       64.8532
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      10       35.9393
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      1       35.8586
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      2       35.8881
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      3       35.8907
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      4       35.9243
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      5       35.9101
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      6       35.8515
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      7       35.9103
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      8       35.9719
citationCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      9       35.9229
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      10       42.0123
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      1       42.8477
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      2       42.8794
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      3       43.7535
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      4       43.7971
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      5       42.0397
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      6       42.0709
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      7       42.0235
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      8       42.0471
citationCiteseer.graph        dimacs       SCOTCH       3       torus16x16      9       42.0859
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      10       55.8652
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      1       55.8285
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      2       56.0639
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      3       55.8022
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      4       55.9996
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      5       55.9262
