# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-22july06.graph        dimacs      KAHIP      torus8x8x8      5     13.55958     888      287     13.1603     30461.0     123470.0
as-22july06.graph        dimacs      KAHIP_ID      grid16x16      1     18.9035     1923      576     27.0265     32921.0     155970.0
as-22july06.graph        dimacs      KAHIP_ID      grid16x16      2     18.4384     1717      474     24.5402     32382.0     153327.0
as-22july06.graph        dimacs      KAHIP_ID      grid16x16      3     17.3587     1874      567     26.0403     32214.0     152336.0
as-22july06.graph        dimacs      KAHIP_ID      grid16x16      4     17.9177     2281      430     26.7109     32754.0     163257.0
as-22july06.graph        dimacs      KAHIP_ID      grid16x16      5     17.3924     2343      553     26.033     32973.0     153725.0
as-22july06.graph        dimacs      KAHIP_ID      grid8x8x8      1     14.2767     1192      170     13.1602     36228.0     127128.0
as-22july06.graph        dimacs      KAHIP_ID      grid8x8x8      2     13.761     1299      168     13.5947     36540.0     128320.0
as-22july06.graph        dimacs      KAHIP_ID      grid8x8x8      3     13.0243     1242      210     14.8279     35212.0     133481.0
as-22july06.graph        dimacs      KAHIP_ID      grid8x8x8      4     13.0409     1346      205     14.1686     35076.0     130762.0
as-22july06.graph        dimacs      KAHIP_ID      grid8x8x8      5     12.9659     1221      228     13.9561     35185.0     128522.0
as-22july06.graph        dimacs      KAHIP_ID       8-dimHQ      1     6.26919     738      231     12.8483     28404.0     75214.0
as-22july06.graph        dimacs      KAHIP_ID       8-dimHQ      2     6.29261     566      240     12.4934     28304.0     73461.0
as-22july06.graph        dimacs      KAHIP_ID       8-dimHQ      3     6.23238     630      172     12.6427     28645.0     74440.0
as-22july06.graph        dimacs      KAHIP_ID       8-dimHQ      4     6.37484     569      216     12.0605     29349.0     74992.0
as-22july06.graph        dimacs      KAHIP_ID       8-dimHQ      5     6.35417     781      237     11.689     29354.0     74564.0
as-22july06.graph        dimacs      KAHIP_ID      torus16x16      1     11.2469     1443      336     23.7575     28968.0     143329.0
as-22july06.graph        dimacs      KAHIP_ID      torus16x16      2     12.6713     1466      343     23.39     29976.0     138726.0
as-22july06.graph        dimacs      KAHIP_ID      torus16x16      3     12.7247     1191      284     22.6261     29386.0     137137.0
as-22july06.graph        dimacs      KAHIP_ID      torus16x16      4     12.7098     1182      318     22.1     29840.0     138059.0
as-22july06.graph        dimacs      KAHIP_ID      torus16x16      5     11.1833     1369      410     23.2054     28543.0     141344.0
as-22july06.graph        dimacs      KAHIP_ID      torus8x8x8      1     9.01635     864      200     11.5854     33560.0     117789.0
as-22july06.graph        dimacs      KAHIP_ID      torus8x8x8      2     8.9207     723      205     11.8907     33201.0     120049.0
as-22july06.graph        dimacs      KAHIP_ID      torus8x8x8      3     8.90674     794      195     11.725     33113.0     118329.0
as-22july06.graph        dimacs      KAHIP_ID      torus8x8x8      4     8.98479     652      185     11.9673     32669.0     120858.0
as-22july06.graph        dimacs      KAHIP_ID      torus8x8x8      5     9.21471     645      195     11.8443     32663.0     119177.0
as-skitter.graph        network      KAHIP      grid16x16      1     1439.316     341487      99086     808.058     2438744.0     15522796.0
as-skitter.graph        network      KAHIP      grid16x16      2     1439.316     331137      120461     711.915     2438675.0     14049635.0
as-skitter.graph        network      KAHIP      grid16x16      3     1439.316     304358      186550     806.38     2424177.0     15776019.0
as-skitter.graph        network      KAHIP      grid16x16      4     1439.316     316002      122458     736.24     2432817.0     13995924.0
as-skitter.graph        network      KAHIP      grid16x16      5     1439.316     303137      100650     753.26     2415882.0     14739788.0
as-skitter.graph        network      KAHIP      grid8x8x8      1     2557.827     141390      50367     287.465     2791280.0     13033378.0
as-skitter.graph        network      KAHIP      grid8x8x8      2     2557.827     125099      87000     269.623     2778644.0     12710842.0
as-skitter.graph        network      KAHIP      grid8x8x8      3     2557.827     194274      46761     286.027     2775528.0     12957865.0
as-skitter.graph        network      KAHIP      grid8x8x8      4     2557.827     180792      49400     286.194     2784259.0     13370121.0
as-skitter.graph        network      KAHIP      grid8x8x8      5     2557.827     156054      47712     280.248     2791435.0     13321611.0
as-skitter.graph        network      KAHIP       8-dimHQ      1     1439.316     80327      60212     334.132     2438744.0     6418680.0
as-skitter.graph        network      KAHIP       8-dimHQ      2     1439.316     139178      60645     320.993     2438675.0     6334795.0
as-skitter.graph        network      KAHIP       8-dimHQ      3     1439.316     112235      59390     323.28     2424177.0     6324651.0
as-skitter.graph        network      KAHIP       8-dimHQ      4     1439.316     85304      52482     333.757     2432817.0     6344719.0
as-skitter.graph        network      KAHIP       8-dimHQ      5     1439.316     92376      67100     321.95     2415882.0     6299912.0
as-skitter.graph        network      KAHIP      torus16x16      1     1439.316     211289      90318     619.922     2438744.0     11908698.0
as-skitter.graph        network      KAHIP      torus16x16      2     1439.316     286943      101075     596.86     2438675.0     11779041.0
as-skitter.graph        network      KAHIP      torus16x16      3     1439.316     220508      92812     620.54     2424177.0     12140249.0
as-skitter.graph        network      KAHIP      torus16x16      4     1439.316     220385      122458     618.641     2432817.0     11760372.0
as-skitter.graph        network      KAHIP      torus16x16      5     1439.316     225655      100650     601.248     2415882.0     11765218.0
as-skitter.graph        network      KAHIP      torus8x8x8      1     2557.827     113041      50367     231.107     2791280.0     10478154.0
as-skitter.graph        network      KAHIP      torus8x8x8      2     2557.827     75438      45669     220.466     2778644.0     10393406.0
as-skitter.graph        network      KAHIP      torus8x8x8      3     2557.827     84058      46761     230.041     2775528.0     10421557.0
