# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-skitter.graph        network      KAHIP_GR      torus16x16      1     1392.95     167723      39946     434.4     2704271.0     8757505.0
as-skitter.graph        network      KAHIP_GR      torus16x16      2     1470.4     184507      44704     422.273     2704312.0     9032423.0
as-skitter.graph        network      KAHIP_GR      torus16x16      3     1399.11     157817      35590     421.889     2679580.0     8989195.0
as-skitter.graph        network      KAHIP_GR      torus16x16      4     1356.35     153580      47660     436.887     2674212.0     8976289.0
as-skitter.graph        network      KAHIP_GR      torus16x16      5     1378.27     165723      37862     420.445     2672691.0     8993742.0
as-skitter.graph        network      KAHIP_GR      torus8x8x8      1     1243.36     98170      18292     163.451     3077508.0     7959421.0
as-skitter.graph        network      KAHIP_GR      torus8x8x8      2     1140.87     97825      19223     159.515     3050149.0     7992319.0
as-skitter.graph        network      KAHIP_GR      torus8x8x8      3     1155.94     101606      27450     161.347     3050994.0     7969228.0
as-skitter.graph        network      KAHIP_GR      torus8x8x8      4     1188.58     85225      17527     163.832     3068804.0     8056779.0
as-skitter.graph        network      KAHIP_GR      torus8x8x8      5     1185.94     88626      20403     160.073     3067769.0     8124689.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      1     217.9514     11609      11260     107.994     323443.0     1645080.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      2     217.9514     9615      16580     106.256     323081.0     1608616.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      3     217.9514     10699      14570     101.469     322817.0     1539798.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      4     217.9514     11498      16310     111.732     322670.0     1697876.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      5     217.9514     11069      9297     106.106     322640.0     1608680.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      1     367.7166     4247      3955     44.0787     382680.0     1438510.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      2     367.7166     4644      5236     43.0181     380462.0     1401444.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      3     367.7166     4961      1548     44.3164     380849.0     1443207.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      4     367.7166     5509      1752     45.6469     380136.0     1488042.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      5     367.7166     5375      1764     43.0982     381319.0     1407803.0
citationCiteseer.graph        dimacs      KAHIP      8-dimHQ      1     217.9514     5477      1530     52.5759     323443.0     800889.0
citationCiteseer.graph        dimacs      KAHIP      8-dimHQ      2     217.9514     5199      1658     52.9731     323081.0     801960.0
citationCiteseer.graph        dimacs      KAHIP      8-dimHQ      3     217.9514     5170      1890     52.4873     322817.0     796495.0
citationCiteseer.graph        dimacs      KAHIP      8-dimHQ      4     217.9514     3782      2532     52.6428     322670.0     799960.0
citationCiteseer.graph        dimacs      KAHIP      8-dimHQ      5     217.9514     4223      2163     52.868     322640.0     801532.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      1     217.9514     8513      3100     83.959     323443.0     1278948.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      2     217.9514     8932      3048     84.3795     323081.0     1277422.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      3     217.9514     8729      2574     85.7063     322817.0     1300593.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      4     217.9514     8556      3206     84.7389     322670.0     1287692.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      5     217.9514     9029      3280     84.1182     322640.0     1275316.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      1     367.7166     4800      1346     37.5856     382680.0     1226607.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      2     367.7166     4074      1326     37.4913     380462.0     1221391.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      3     367.7166     4693      1475     37.2324     380849.0     1212510.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      4     367.7166     4436      1312     37.2839     380136.0     1215417.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      5     367.7166     3897      1851     36.1607     381319.0     1181190.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid16x16      1     556.05     10980      3500     93.9749     366250.0     1616556.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid16x16      2     611.631     9298      3348     92.3218     369408.0     1579719.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid16x16      3     579.082     10039      3402     88.5232     371251.0     1506310.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid16x16      4     598.243     12139      5328     93.7423     372426.0     1658770.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid16x16      5     584.328     10686      3420     92.1789     363958.0     1579854.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid8x8x8      1     435.368     4556      1728     36.754     448570.0     1396322.0
