# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-22july06.graph        dimacs      SCOTCH_alma      grid16x16      2     21.5076     3035      345     20.8758     45870.0     232556.0
as-22july06.graph        dimacs      SCOTCH_alma      grid16x16      3     21.7977     3086      228     21.0995     45859.0     231841.0
as-22july06.graph        dimacs      SCOTCH_alma      grid16x16      4     21.6384     3141      320     21.571     46335.0     239870.0
as-22july06.graph        dimacs      SCOTCH_alma      grid16x16      5     21.7259     2775      282     21.2566     46258.0     235459.0
as-22july06.graph        dimacs      SCOTCH_alma      grid8x8x8      1     15.8046     1970      195     11.3053     46879.0     186956.0
as-22july06.graph        dimacs      SCOTCH_alma      grid8x8x8      2     16.086     2137      230     10.9906     46842.0     187698.0
as-22july06.graph        dimacs      SCOTCH_alma      grid8x8x8      3     15.4199     1747      140     10.4069     47138.0     199385.0
as-22july06.graph        dimacs      SCOTCH_alma      grid8x8x8      4     15.1673     1686      114     10.5749     47083.0     196841.0
as-22july06.graph        dimacs      SCOTCH_alma      grid8x8x8      5     15.0539     1536      132     10.6776     47006.0     192762.0
as-22july06.graph        dimacs      SCOTCH_alma      8-dimHQ      1     7.81375     1198      214     10.0898     45588.0     114771.0
as-22july06.graph        dimacs      SCOTCH_alma      8-dimHQ      2     7.82599     1208      222     10.2511     45825.0     117683.0
as-22july06.graph        dimacs      SCOTCH_alma      8-dimHQ      3     8.00159     1410      206     10.2397     46604.0     133249.0
as-22july06.graph        dimacs      SCOTCH_alma      8-dimHQ      4     8.06309     1085      128     10.0061     46544.0     129369.0
as-22july06.graph        dimacs      SCOTCH_alma      8-dimHQ      5     7.9309     1004      132     10.0449     46454.0     128906.0
as-22july06.graph        dimacs      SCOTCH_alma      torus16x16      1     14.0656     2127      244     17.5167     45650.0     204262.0
as-22july06.graph        dimacs      SCOTCH_alma      torus16x16      2     14.619     2319      220     17.8264     46162.0     215789.0
as-22july06.graph        dimacs      SCOTCH_alma      torus16x16      3     14.2463     1990      312     17.5741     45562.0     207779.0
