# FILE    METHOD   UBFACTOR     NPARTS     SEED     CUT     TIME
coPapersDBLP.graph       KAHIP       3       256      5      2377244     1501.98
coPapersDBLP.graph       KAHIP       3       256      6      2369400     1614.53
coPapersDBLP.graph       KAHIP       3       256      7      2363093     1469.34
coPapersDBLP.graph       KAHIP       3       256      8      2377363     1522.77
coPapersDBLP.graph       KAHIP       3       256      9      2387339     1595.46
coPapersDBLP.graph       KAHIP       3       512      1      2687119     2394.18
coPapersDBLP.graph       KAHIP       3       512      2      2701917     2403.75
coPapersDBLP.graph       KAHIP       3       512      3      2684867     2318.32
coPapersDBLP.graph       KAHIP       3       512      4      2703734     2278.57
coPapersDBLP.graph       KAHIP       3       512      5      2694521     2285.05
coPapersDBLP.graph       KAHIP       3       512      6      2695334     2382.47
coPapersDBLP.graph       KAHIP       3       512      7      2701751     2371.56
coPapersDBLP.graph       KAHIP       3       512      8      2714058     2526.94
coPapersDBLP.graph       KAHIP       3       512      9      2690820     2228.05
coPapersDBLP.graph       KAHIP       3      512     10      2712412     2587.91
coPapersDBLP.graph       KAHIP       3       256      10      2370039     1376.88
email-EuAll.graph       KAHIP       3       256      1      44946     22.7646
email-EuAll.graph       KAHIP       3       256      2      44789     21.042
email-EuAll.graph       KAHIP       3       256      3      44840     23.1071
email-EuAll.graph       KAHIP       3       256      4      44997     22.5689
email-EuAll.graph       KAHIP       3       256      5      44868     24.172
email-EuAll.graph       KAHIP       3       256      6      45205     21.53
email-EuAll.graph       KAHIP       3       256      7      44248     24.6826
email-EuAll.graph       KAHIP       3       256      8      44780     23.794
email-EuAll.graph       KAHIP       3       256      9      44601     23.9304
email-EuAll.graph       KAHIP       3       512      1      49541     16.6669
email-EuAll.graph       KAHIP       3       512      2      49252     16.8763
email-EuAll.graph       KAHIP       3       512      3      49784     19.3284
email-EuAll.graph       KAHIP       3       512      4      49599     17.6872
email-EuAll.graph       KAHIP       3       512      5      49305     16.9124
email-EuAll.graph       KAHIP       3       512      6      49311     17.4198
email-EuAll.graph       KAHIP       3       512      7      49279     18.4624
email-EuAll.graph       KAHIP       3       512      8      49374     17.5142
email-EuAll.graph       KAHIP       3       512      9      49720     16.086
email-EuAll.graph       KAHIP       3      512     10      49363     17.6425
email-EuAll.graph       KAHIP       3       256      10      45256     21.6083
loc-brightkite_edges.graph       KAHIP       3       256      1      97420     115.356
loc-brightkite_edges.graph       KAHIP       3       256      2      97101     107.745
loc-brightkite_edges.graph       KAHIP       3       256      3      96619     112.461
loc-brightkite_edges.graph       KAHIP       3       256      4      96233     123.445
loc-brightkite_edges.graph       KAHIP       3       256      5      96924     123.162
loc-brightkite_edges.graph       KAHIP       3       256      6      97378     108.096
loc-brightkite_edges.graph       KAHIP       3       256      7      97109     110.941
loc-brightkite_edges.graph       KAHIP       3       256      8      96521     109.225
loc-brightkite_edges.graph       KAHIP       3       256      9      96364     114.79
loc-brightkite_edges.graph       KAHIP       3       512      1      111205     158.539
loc-brightkite_edges.graph       KAHIP       3       512      2      111187     158.153
loc-brightkite_edges.graph       KAHIP       3       512      3      111267     158.336
loc-brightkite_edges.graph       KAHIP       3       512      4      111189     148.704
loc-brightkite_edges.graph       KAHIP       3       512      5      111141     152.757
loc-brightkite_edges.graph       KAHIP       3       512      6      111358     155.751
loc-brightkite_edges.graph       KAHIP       3       512      7      110794     161.565
loc-brightkite_edges.graph       KAHIP       3       512      8      111326     151.234
loc-brightkite_edges.graph       KAHIP       3       512      9      111079     152.199
loc-brightkite_edges.graph       KAHIP       3      512     10      110920     156.604
loc-brightkite_edges.graph       KAHIP       3       256      10      96679     111.982
loc-gowalla_edges.graph       KAHIP       3       256      1      424861     434.154
loc-gowalla_edges.graph       KAHIP       3       256      2      425932     473.695
loc-gowalla_edges.graph       KAHIP       3       256      3      421871     464.972
loc-gowalla_edges.graph       KAHIP       3       256      4      425141     467.627
loc-gowalla_edges.graph       KAHIP       3       256      5      425000     489.554
loc-gowalla_edges.graph       KAHIP       3       256      6      426505     472.995
loc-gowalla_edges.graph       KAHIP       3       256      7      426118     445.751
loc-gowalla_edges.graph       KAHIP       3       256      8      423187     463.153
loc-gowalla_edges.graph       KAHIP       3       256      9      423583     449.582
loc-gowalla_edges.graph       KAHIP       3       512      1      469234     1127.36
loc-gowalla_edges.graph       KAHIP       3       512      2      469277     1154.11
loc-gowalla_edges.graph       KAHIP       3       512      3      471060     1294.72
loc-gowalla_edges.graph       KAHIP       3       512      4      470716     1150.92
loc-gowalla_edges.graph       KAHIP       3       512      5      472024     1235.79
loc-gowalla_edges.graph       KAHIP       3       512      6      470909     1187.22
loc-gowalla_edges.graph       KAHIP       3       512      7      470032     1106.29
loc-gowalla_edges.graph       KAHIP       3       512      8      468963     1095.21
loc-gowalla_edges.graph       KAHIP       3       512      9      472243     1209.98
loc-gowalla_edges.graph       KAHIP       3      512     10      470599     1185.82
loc-gowalla_edges.graph       KAHIP       3       256      10      422709     454.355
p2p-Gnutella04.graph       KAHIP       3       256      1      21513     16.3964
p2p-Gnutella04.graph       KAHIP       3       256      2      21519     16.8314
p2p-Gnutella04.graph       KAHIP       3       256      3      21493     16.5319
